UID,title,authors,abstract,keywords,session,teaserUrl,youtubeUrl
2658,Machine Learning Meets a Particle Accelerator,"Chris Tennant, Adam Carpenter, Tom Powers, Anna Solopova, Lasitha Vidyaratne, Khan Iftekharuddin","Particle accelerators are arguably the most complex scientific instruments ever built. Working as an accelerator physicist at a user-facility, the goal is to maximize scientific output per operating dollar. Given the enormous amount of data generated by accelerators and the increasing demands on system performance, we recognize the need to leverage machine learning (ML). This talk reports on a time-series classification project where I've been involved in the full life-cycle of the project - from data exploration through deployment. During the project we have utilized supervised learning (both conventional and deep methods) as well as unsupervised learning. ",applications,1a,https://storage.googleapis.com/eeml/4d983663e5c746e3b9a7ac7a8aea58ed,https://www.youtube.com/embed/pNrnNoL7E7I
2663,Balancing Rational and Other-Regarding Preferences in Cooperative-Competitive Environments,"Dmitry Ivanov, Vladimir Egorov, Alexey Shpilman","Recent studies extensively explore the interplay between cooperative and competitive behaviour in mixed environments, where purely rational agents often struggle to achieve stable cooperation. A prevalent approach to induce cooperative behaviour is to assign additional rewards based on other agents' well-being. However, this approach suffers from the issues of multi-agent credit assignment and non-stationarity. These issues are efficiently alleviated in cooperative setting with such algorithms as QMIX and COMA. As an extension of these algorithms for mixed environments, we propose BAROCCO. Our algorithm is compatible with both Q-learning and Actor-Critic frameworks and is capable to balance individual and social incentives.",reinforcementLearning,1b,https://storage.googleapis.com/eeml/695077538ec84a359a7401aa3eb9c60d,https://www.youtube.com/embed/R49-aIGukvA
2669,Interpreting word embeddings using a distribution agnostic approach employing Hellinger distance,"Tamás Ficsor, Gábor Berend","Word embeddings can encode semantic and syntactic features and have achieved many recent successes in solving NLP tasks. Despite their successes, it is not trivial to directly extract lexical information out of them. In this paper, we propose a transformation of the embedding space to a more interpretable one using the Hellinger distance. We additionally suggest a distribution-agnostic approach using Kernel Density Estimation. Furthermore method is introduced to measure the interpretability of the word embeddings in a dimension independent manner.",nlp,1c,https://storage.googleapis.com/eeml/5e61dc9560774f38a68026928031629f,https://www.youtube.com/embed/QHeZIoqJ5Qc
2670,Order Altering Language Constructions Promote Generalization to Unseen Instructions of Ordinary Order​,"Vladislav Kurenkov, Bulat Maksudov, Adil Khan","We analyze the performance of general deep reinforcement learning algorithms on a task-oriented language grounding problem, where language input contains multiple tasks and the model has no prior linguistic knowledge. In this preliminary work, we particularly focus on the language input with constructions that alter the order of execution. Our results  show  that  the  introduction  of  such  constructions  in  the training language input consistently improves the generalization to a higher number of tasks up from 3% to 14% over the different variations of training algorithms.",reinforcementLearning,1b,https://storage.googleapis.com/eeml/f22f7a8778be4169ac4a6f3ebbfb62f7,https://www.youtube.com/embed/M-eVLp13jvQ
2674,Continual Lerning with Gated Incremental Memories fro sequential data processing,"Andrea Cossu, Antonio Carta, Davide Bacciu","The ability to learn in dynamic, nonstationary environments without forgetting previous knowledge, also known as Continual Learning (CL), is a key enabler for scalable and trustworthy deployments of adaptive solutions. This work proposes a Recurrent Neural Network (RNN) architecture for CL that is able to deal with drift in input distribution without forgetting previously acquired knowledge. We compare the performances of our enhanced architecture against EWC and RNNs on a set of standard CL benchmarks. Results show the superior performance of our architecture and highlight the need for special solutions designed to address CL in RNNs.",Continual Learning,1a,https://storage.googleapis.com/eeml/7f89284545a642b99439b2ffff730d95,https://www.youtube.com/embed/qZ59IN4fufI
2677,A Robust FD&I Methodology for Solenoid Pumps based on Discriminative Features,Akpudo Ugochukwu Ejike and Jang-Wook Hur,"The need for accurate condition monitoring of hydraulic components (solenoid pumps) has attracted extensive research studies on techniques for optimized fault detection and isolation (FD&I). Because Mechanical vibrational signals reflect operational conditions, effective and efficient FD&I techniques depend largely on the discriminative nature of extracted features for diagnosis. Our study focusses on a multi-domain feature extraction procedure, discriminative feature selection using the binary particle swarm optimization (BPSO) algorithm, and fault isolation by the Gaussian kernel support vector machine (SVM*). The performance was tested on five VSC63A5 solenoid pumps at various operating (fault) conditions with a test accuracy of 99.6%. ",applications,1a,https://storage.googleapis.com/eeml/c083fcd648e447079c1fc0e65280b12b,https://www.youtube.com/embed/avwxjcDm8Fw
2683,BERT for Evidence Retrieval andClaim Verification,Amir Soleimani,"I explain how we use the BERT model for claim verification and evidence sentence retrieval. I explain both pointwise and pairwise approaches for the retrieval model and address the problem of trivial negative samples. Finally, I present how hard negative mining can improve performance.",nlp,1c,https://storage.googleapis.com/eeml/d98c4bfbe66b4836ae905977cccbcdf7,https://www.youtube.com/embed/xXyZEB2qN2c
2689,BERT for Romanian Language Understanding,"Stefan Daniel Dumitrescu, Andrei-Marius Avram, Sampo Pyysalo","We introduce Romanian BERT, the first purely Romanian transformer-based language model, pretrained on 15.2 GB of text. To validate the model, we evaluated it on various Romanian datasets and compared its results with the ones obtained by Multilingual BERT; it outperformed Multilingual BERT on all tasks. We open sourced the pretrained model, the evaluation code, and some practical examples of fine-tuning at: https://github.com/dumitrescustefan/Romanian-Transformes.",nlp,1c,https://storage.googleapis.com/eeml/f46122b49857467da4721266fc1d471f,https://www.youtube.com/embed/WuknJlPSD1Y
2691,Breakdown Detection in Negotiation Dialogues,"Atsuki Yamaguchi, Katsuhide Fujita","In human-human negotiation, reaching a rational agreement can be difficult, and unfortunately, the negotiations sometimes break down because of conflicts of interests. If artificial intelligence can play a role in assisting with human-human negotiation, it can assist in avoiding negotiation breakdown, leading to a rational agreement. Therefore, this study focuses on end-to-end tasks for predicting the outcome of a negotiation dialogue in natural language.",nlp,1c,https://storage.googleapis.com/eeml/4cc98220b7b441298b4864a08bd91c68,https://www.youtube.com/embed/uf9e29-0g2E
2714,A study of natural alpha embeddings on a decomposable attention model,"Uddhipan Thakur, Riccardo Volpi, Luigi Malago","Natural alpha embeddings are geometrically deformed embeddings obtained from deforming the manifold created by conditional models. We test such emdeddings for a NLI task by implementing a decomposable attention model introduced by Parikh et al, on the SNLI dataset. Several parameter values of alpha are implemented and the results for each are compared against those of the standard Glove embeddings usually used in such contexts.",nlp,1c,https://drive.google.com/thumbnail?id=1VkJb8_mrVH5QO-7njvjyw1WOIBpx5uO2,https://www.youtube.com/embed/nMfHXqYsTCc
